"","concept_id","zh_target","en_target","zh_cue_related_unrelated_nonword","en_cue_related_unrelated_nonword","condition","en_avgRT_prime","zh_avgRT_prime"
"24",360,"刀","knife","剑_来源_指音","sword_victory_sko","En_no_Chinese_strong",6.85681632,94.4819047545863
"25",366,"孩子","child","婴儿_控制_助宝","baby_area_οse","En_no_Chinese_strong",2.845373156,90.0469283610229
"26",9,"仍然","still","已经_哲学_签大","already_birth_abhoarsely","En_no_Chinese_strong",4.431711029,90.8861987067489
"27",429,"美元","dollar","英镑_自杀_问钱槑","pound_author_combits","En_no_Chinese_strong",23.92354622,106.766333059456
"28",141,"钓鱼","fishing","打猎_委任_声搵","hunting_silent_oux","En_no_Chinese_strong",8.58415536,91.2230803516279
"29",529,"描述","description","概括_看见_松池","profile_country_comit","En_no_Chinese_strong",-4.864205869,75.630532914945
"30",181,"需要","need","必要_月台_烧侦","necessary_hospitality_liarchy","En_no_Chinese_strong",-10.68765365,69.6249801223156
"31",18,"奖章","medallion","仿品_银行业_持标","artifact_banking_throul","En_no_Chinese_strong",3.160585192,83.1777522590276
"32",933,"通风","ventilation","阀门_教会_命菜","valve_officially_segias","En_no_Chinese_strong",20.74388095,99.3118404997616
"33",345,"癌症","cancer","肿瘤_安全_上湛","tumor_anonymous_ild","En_no_Chinese_strong",12.22226534,90.3689548529364
"34",37,"节日","festival","狂欢_损害_处赛","carnival_run_uwa","En_no_Chinese_strong",15.30312889,90.2006220236972
"35",207,"地狱","hell","天堂_男性_食除","paradise_allow_hoar","En_no_Chinese_strong",-6.576613853,67.5205640280377
"36",863,"看法","perspective","观点_转圈_看力","view_september_nightache","En_no_Chinese_strong",13.97783835,84.5959651037837
"37",277,"沙拉","salad","汤羹_省长_怒倒","soup_league_ketclep","En_no_Chinese_strong",12.05171015,79.8555220249713
"38",12,"直升机","helicopter","救护车_保护_声运","ambulance_weight_nasil","En_no_Chinese_strong",21.79999554,85.5070992465432
"39",69,"隐藏","hide","掩盖_票券_倒心","cover_ticket_infludown","En_no_Chinese_strong",12.62525408,75.8357773919553
"40",53,"葬礼","funeral","棺材_兴奋_凶胞","coffin_credit_unin","En_no_Chinese_strong",-9.834469273,50.8515740156054
"41",993,"辐射","radiation","污染_冠军_收歧","contamination_class_posiness","En_no_Chinese_strong",14.02679355,74.5726201783887
"42",211,"个人","individual","私人_休息_利一","person_sword_cumlo","En_no_Chinese_strong",15.78860877,73.5873478132667
"43",623,"政府","government","联邦_行政_长官_牢房_补头_校岁","administration_slow_reroge","En_no_Chinese_strong",17.14711403,74.5041027545042
"44",97,"包裹","package","信封_乐趣_切机","envelope_dramatic_announcsary","En_no_Chinese_no",-1.215974375,0.421333354435092
"45",36,"电话","telephone","通话_刚才_兵访孖","call_admire_rorys","En_no_Chinese_no",-1.643750985,-0.129727055882199
"46",582,"公寓","apartment","房子_敌人_惊界","house_liquid_hensy","En_no_Chinese_no",-2.44855638,-0.106412899140309
"47",221,"表明","indicate","指出_证据_配探","point_trick_roers","En_no_Chinese_no",-2.938384677,0.658887971316176
"48",407,"晚上","evening","夜间_方法_奏喂","night_cream_tinsd","En_no_Chinese_no",-0.689920132,-3.08337271423557
"49",649,"天赋","talent","潜力_苦难_签流燚","potential_final_stord","En_no_Chinese_no",-2.946396544,-1.53972946646502
"50",476,"咖啡","coffee","杯子_不会_钱角","cup_strength_dok","En_no_Chinese_no",-1.491482756,4.87221426681299
"51",29,"怀孕","pregnancy","诞生_担心_士马","birth_compass_neey","En_no_Chinese_no",-1.546322667,-5.26472209332883
"52",35,"子弹","bullet","口径_避难_旁型","caliber_count_clun","En_no_Chinese_no",1.538565974,5.87184615108197
"53",100,"调查","investigate","检验_建议_会豁","examine_anatomy_envekled","En_no_Chinese_no",4.02922786,4.16212860934729
"54",194,"年轻","young","苍老_结尾_晚升","old_illegal_comfortder","En_no_Chinese_no",7.545449801,1.37758557766426
"55",445,"电视","television","广播_生锈_农现","radio_refuge_unreasonhurst","En_no_Chinese_no",4.024043198,-5.16180214758447
"56",744,"车站","station","月台_天空_绳达","platform_success_eud","En_no_Chinese_no",7.421886303,2.39745098531034
"57",515,"密码","password","代码_白鲨_外过","code_shark_dishit","En_no_Chinese_no",4.946389405,4.97251281509102
"58",597,"石头","stone","岩块_最后_熟师","rock_cabin_spanform","En_no_Chinese_no",-3.239154167,6.77057446335812
"59",470,"对手","opponent","敌人_抓破_洞碎","enemy_scratch_swip","En_no_Chinese_no",2.470021826,7.90054806305761
"60",669,"司机","driver","乘客_智慧_释健","passenger_white_remandal","En_no_Chinese_no",5.791845505,5.07002483902545
"61",549,"喜悦","joy","乐趣_卖家_球卷","pleasure_seller_liqhok","En_no_Chinese_no",-5.872989041,-5.19132725885197
"62",598,"锻炼","exercise","实践_艺人_饵色","practice_record_firescope","En_no_Chinese_no",10.43575358,-0.920507856960057
"63",171,"厘米","centimeter","英里_半夜_存寻","mile_alive_penties","En_no_Chinese_no",11.52710324,1.07826643972066
"64",599,"学习","study","研究_变化_家尖","research_shadow_mpin","En_no_Chinese_no",6.638004375,6.28467097805378
"65",659,"技术","technique","方法_疗法_机监","method_chancellor_parliative","En_no_Chinese_no",12.0801626,-0.846496204292635
"66",466,"精神","spirit","灵魂_银行家_醉络","soul_article_guardes","En_no_Chinese_no",-9.181665613,4.89325100025786
"67",682,"正义","justice","复仇_管理_木意","revenge_blanket_puif","En_no_Chinese_no",1.891293668,12.2497459563403
"68",124,"谢谢","thank","感激_窗户_越自","grateful_sunset_yurica","En_no_Chinese_no",-2.22520604,11.9383504960116
"69",202,"通常","usual","一般_平常_天然_支撑_宝藏_学院_东有_构访_子堵","ordinary_bind_reoggee","En_no_Chinese_no",7.198865968,7.09577613655017
"70",697,"制服","uniform","徽章_惩罚_课道","badge_obstacle_anasils","En_no_Chinese_no",11.78825308,-2.52936972918303
"71",61,"假设","assumption","推论_干脆_内失","conclusion_hit_forbuisness","En_no_Chinese_no",-1.431585896,13.0694949909129
"72",79,"消失","disappearance","死亡_九月_刚栈","death_end_monulars","En_no_Chinese_no",-1.798927637,12.8208316690482
"73",686,"接受","accept","拒绝_片段_谋侄","refuse_tower_adsas","En_no_Chinese_no",2.479930654,12.1597400568485
"74",680,"问题","problem","麻烦_经验_堂充","trouble_death_urd","En_no_Chinese_no",-10.51630032,4.20244763925245
"75",57,"商人","merchant","富翁_商标_勘卜","commercial_balance_vesty","En_no_Chinese_no",6.332148946,8.79608987600591
"76",118,"科学家","scientist","天才_分开_实试","genius_hunger_chring","En_no_Chinese_no",-2.709241897,12.4941583307991
"77",576,"镜子","mirror","反射_疯狂_搜解","reflection_idea_moust","En_no_Chinese_no",-8.135889845,-7.53830357028244
"78",510,"联系","connection","接触_救援_语盖","contact_toilet_essh","En_no_Chinese_no",8.160641257,-7.64560846019685
"79",541,"活力","energy","能量_帮派_功暖","power_cook_environhouse","En_no_Chinese_no",12.1139207,4.38955954797774
"80",63,"思考","think","斟酌_操作_兴力","consider_source_moir","En_no_Chinese_no",5.133684119,-11.4517407827157
"81",886,"维持","maintain","继续_保存_轰动的_现象_理坛_战透尛","preserve_sensational_plpa","En_no_Chinese_no",10.56320939,-6.42193749681974
"82",620,"裙子","dress","短裙_错觉_岁评","skirt_leave_expendant","En_no_Chinese_no",-4.208070226,12.8200016864821
"83",23,"草莓","strawberry","香蕉_雷达_服头","banana_ambulance_gauow","En_no_Chinese_no",13.20194449,3.91827036746258
"84",555,"护照","passport","票券_出租车_印精","ticket_concept_apmit","En_no_Chinese_no",-6.661042873,10.5130710703912
"85",702,"时期","period","阶段_风险_机传","phase_monkey_goswun","En_no_Chinese_no",-10.1681437,7.01231930330164
"86",113,"追赶","chase","跟随_工程_礼下","follow_reflection_stmangth","En_no_Chinese_no",9.777459728,7.59093887636686
"87",90,"啜","sip","滴_第一_要臼","drop_naïve_leil","En_strong_Chinese_no",108.0787396,3.78739331789563
"88",134,"继承","inherit","遗产_文凭_武赠","heritage_diploma_hagson","En_strong_Chinese_no",59.04962994,-11.9059090795993
"89",183,"曾经","ever","绝不_学生_趣暗","never_sugar_courager","En_strong_Chinese_no",46.56015824,21.1429811137689
"90",197,"关闭","closure","锁定_打开_进入_保证_消降_昆罪","opening_dog_nathamy","En_strong_Chinese_no",46.34274966,-20.4385235234258
"91",260,"告诉","tell","说出_液体_旧得","say_dynasty_prinruss","En_strong_Chinese_no",52.14050728,21.8447829441408
"92",263,"分钟","minute","片刻_爆裂_祸定","second_charity_hodas","En_strong_Chinese_no",54.85812569,16.1229784500764
"93",335,"兄弟","brother","姐妹_伙计_系列_黑暗_故育_碰残","sister_comment_congresstion","En_strong_Chinese_no",41.37850613,8.68562848600453
"94",369,"战斗","battle","对抗_杀手_悉课","war_sherlock_iend","En_strong_Chinese_no",70.37974971,20.027447121251
"95",398,"海洋","ocean","海水_联邦_大从","sea_profile_philosodling","En_strong_Chinese_no",42.38029695,4.51666963236619
"96",421,"程序","procedure","项目_过程_哪个_降低_渴尘_暴穿","process_hot_clinicy","En_strong_Chinese_no",64.13483581,16.7615235337
"97",475,"名声","reputation","职业_想象_废骗","career_diarrhea_ranor","En_strong_Chinese_no",45.11080093,18.3612551071019
"98",517,"秋天","autumn","春日_现在_触兄","spring_attention_ornd","En_strong_Chinese_no",69.40840545,-2.16755185514705
"99",530,"毛巾","towel","毯子_地位_扬训","blanket_naval_combinaments","En_strong_Chinese_no",54.31545846,-5.93736891072979
"100",534,"攻击","attack","侵略_受害_商讨_头发_掉早_布素","invasion_snail_radband","En_strong_Chinese_no",45.86155629,-24.762782662327
"101",535,"吸血鬼","vampire","僵尸_作家_提艺","zombie_talk_sentington","En_strong_Chinese_no",41.6876581,9.54126232135582
"102",600,"燃料","fuel","气体_排除_修切","gas_tablet_newsmatic","En_strong_Chinese_no",41.72021109,16.0746192396947
"103",608,"膝盖","knee","肩膀_电缆_码闭","shoulder_ming_sening","En_strong_Chinese_no",65.21321758,-3.9561272763757
"104",710,"昆虫","insect","蜘蛛_公文包_砖丰","spider_ambassador_voen","En_strong_Chinese_no",70.78454072,-24.67019104039
"105",721,"按摩","massage","瑜伽_骨头_受如","yoga_short_phash","En_strong_Chinese_no",40.73801284,-19.0281950323755
"106",752,"酷刑","torture","苦难_奴隶_子中","torment_one_asm","En_strong_Chinese_no",69.19207769,7.24773685573757
"107",809,"荒诞","absurd","可笑_数据_贡洗","ridiculous_data_evolulose","En_strong_Chinese_no",53.86989561,5.54531448789112
"108",827,"自愿","voluntarily","无偿_精神_需揽","volunteer_portal_congall","En_strong_Chinese_no",52.25947885,1.92050182929938
"109",840,"洋葱","onion","大蒜_影响_鱼平","garlic_jurisdiction_spunel","En_strong_Chinese_no",94.19105164,10.9933744151932
"110",843,"傲慢","arrogance","无知_营地_春器","ignorance_ring_confirmanence","En_strong_Chinese_no",70.14601325,1.23882287088418
"111",849,"牛仔","cowboy","竞技_单词_厕畅","rodeo_silk_acurtsy","En_strong_Chinese_no",44.39433695,-11.5601770931308
"112",880,"父母","parent","成人_贫困_油帮","adult_tomorrow_wheakey","En_strong_Chinese_no",41.04709263,-11.7067359048208
"113",900,"厨师","chef","烹饪_跟随_开温","cook_noise_pritice","En_strong_Chinese_no",52.9119661,20.309500005988
"114",926,"突变","mutation","进化_口红_算声","evolution_concern_thomt","En_strong_Chinese_no",52.3007193,14.9342227326672
"115",935,"恶心","nausea","生病_韵律_疲给","diarrhea_tough_observacants","En_strong_Chinese_no",66.80019933,-14.1547920157509
"116",974,"监禁","imprisonment","惩罚_看法_点重","penalty_tank_skinet","En_strong_Chinese_no",73.39680895,16.3838461504042
"117",994,"腹部","abdominal","脊柱_化学的_余曲","spinal_chemical_lavaing","En_strong_Chinese_no",44.26683222,-18.2595483939915
"118",794,"朱丽叶","juliet","罗密欧_绑匪_憨期","romeo_hotel_meisop","En_strong_Chinese_strong",131.0995679,221.608739379018
"119",294,"第四","fourth","第三_解药_平说","third_change_slose","En_strong_Chinese_strong",49.49779948,286.305700854271
"120",734,"三重","triple","双倍_崇高_腿吹","double_influence_sebrok","En_strong_Chinese_strong",51.4871497,228.441701621514
"121",30,"女孩们","girls","男孩们_环境_胧业","boys_bribe_geview","En_strong_Chinese_strong",50.89038386,215.544596999614
"122",321,"东方","east","西方_质疑_于守","west_penalty_weektion","En_strong_Chinese_strong",87.05287139,171.599400416816
"123",816,"段落","paragraph","部分_艾滋_知辈","section_grateful_ambasstill","En_strong_Chinese_strong",45.40116337,181.269231109051
"124",691,"上","upper","下_机智_仅处","lower_rusty_faaber","En_strong_Chinese_strong",60.49222768,162.6677174644
"125",351,"海洛因","heroin","可卡因_炸毁_色蜂","cocaine_proud_caby","En_strong_Chinese_strong",102.9280319,109.504734871343
"126",725,"吗啡","morphine","阿司匹林_军人_化常","aspirin_place_bakke","En_strong_Chinese_strong",58.01139287,147.129351960547
"127",38,"基督教","christian","天主教_脉冲_遗碟","catholic_progress_fari","En_strong_Chinese_strong",109.6756436,91.2805466526293
"128",498,"红衣主教","cardinal","主教_纸盒_油中","bishop_box_holnight","En_strong_Chinese_strong",46.97897682,149.256564591522
"129",388,"十月","october","九月_抗议_数败","september_antidote_intertwin","En_strong_Chinese_strong",74.55819634,110.739736378068
"130",189,"十二月","december","十一月_红色_家解","november_gambling_spab","En_strong_Chinese_strong",56.59992707,126.19487857113
"131",628,"发射机","transmitter","传感器_工具_席局","sensor_sad_arind","En_strong_Chinese_strong",63.07379056,112.106130445816
"132",166,"金星","venus","火星_水兵_耐闭","mars_technical_chack","En_strong_Chinese_strong",79.08417073,94.978154611641
"133",858,"后部","rear","正面_业余_注私","front_amateur_ledie","En_strong_Chinese_strong",52.59027855,115.707368318328
"134",316,"伏特加","vodka","威士忌_极其_月催","whiskey_expert_whur","En_strong_Chinese_strong",50.56237414,115.755633331248
"135",173,"十亿","billion","百万_殖民地_莽洗","million_naturally_nipal","En_strong_Chinese_strong",77.14622717,87.21871195394
"136",919,"新娘","bride","新郎_候选_叙光","groom_southern_recause","En_strong_Chinese_strong",46.81511027,113.764174594216
"137",537,"波士顿","boston","华盛顿_指甲_近茶","washington_suddenly_inke","En_strong_Chinese_strong",61.7263723,98.7355369414859
"138",521,"修道院","monastery","寺庙_孤儿院_擂台_巨龙_酵歌_内刀","temple_answer_antov","En_strong_Chinese_strong",41.54631696,112.103268688586
"139",855,"大西洋","atlantic","太平洋_声音_垫场","pacific_celebrity_santly","En_strong_Chinese_strong",55.61297559,94.8492871133836
"140",361,"中尉","lieutenant","军士_微笑_月矮","sergeant_singer_lipin","En_strong_Chinese_strong",55.30821978,90.5373457026078
"141",458,"周二","tuesday","周一_僧侣_回得","monday_cloth_chopinate","En_strong_Chinese_strong",56.72794516,84.5027066862726
"142",450,"感染","infection","病毒_男孩们_求挂","virus_commander_obstalags","En_strong_Chinese_strong",43.03470201,92.6419130713159
"143",969,"无法","unable","不会_突然_凭场","inability_dry_griv","En_strong_Chinese_strong",61.9419134,73.5135759809758
"144",142,"幻觉","hallucination","错觉_说谎_书止","illusion_current_scoting","En_strong_Chinese_strong",41.65307373,91.9359644393908
"145",675,"飞行员","pilot","宇航员_凯撒_对板","astronaut_caesar_herange","En_strong_Chinese_strong",40.43389546,89.2616721767505
"146",755,"动脉","artery","静脉_解释_育资","vein_youth_proteer","En_strong_Chinese_strong",50.29891692,78.9345731766119
"147",28,"蚂蚁","ant","蜜蜂_谦卑_事敌","bee_window_hengthy","En_strong_Chinese_strong",63.53878404,63.879878589555
"148",730,"凶手","murderer","杀手_区域_纸助","killer_research_dullery","En_strong_Chinese_strong",43.35267651,83.7174784162258
"149",193,"是的","yeah","好的_移动_衰来","okay_examine_ririo","En_strong_Chinese_strong",44.34009675,75.7071624520785
"150",573,"帽子","hat","眼镜_头盔_医疗的_姐妹_加澎_炸坐","helmet_medical_tari","En_strong_Chinese_strong",41.99020251,77.0888480292359
"151",724,"演讲","lecture","研讨_甜美_不线","seminar_supernatural_caif","En_strong_Chinese_strong",47.98817909,68.9630764712907
"152",614,"汉堡包","hamburger","三明治_收藏_被详","sandwich_policy_lemoneen","En_strong_Chinese_strong",60.18090493,51.6697157969456
"153",859,"屁股","butt","臀部_租户_积掩","ass_tenant_siter","En_strong_Chinese_strong",43.82081507,49.69524529212
